,0,1
"-0.0,-0.0",0.003268913055676374,-0.005946215966101414
"-0.1,-0.3",0.0051875608294062675,-0.007960113256791277
"0.5,2.5",-0.009842795617850876,0.014109470012859875
"1.2,0.7",0.0027641253056169693,-0.010923536762525103
"-0.0,0.1",-0.009907109292501371,0.0037478208074221793
"0.1,0.0",-0.002140943743051467,-0.007144631556776679
"0.1,-0.3",0.0014989024572539223,-0.00987844092749287
"0.0,0.8",0.018299704667184235,-0.007182097707488094
"2.0,2.8",0.010770392455787462,0.0
"-1.1,-3.1",-0.0004857621440535999,0.00576461297882274
"-0.1,-0.2",-0.004417516815152008,-0.00889898832138807
"0.4,-1.1",0.0043844045176767875,-0.009111930647988398
"-7.4,-7.8",-0.0013044101485976485,0.002478379282335532
"0.0,0.0",-0.005195300415458645,0.0009990784744423548
"-0.2,0.1",-0.007483144126545388,-0.005565106408477
"0.9,0.2",0.00024661229230845566,-0.006162085243310909
"0.5,-0.4",-0.0034545542387635062,0.008664797077630555
"-0.4,-0.1",0.0015631909115778513,-0.006652007912538638
"0.3,0.7",0.002102242700985958,-0.007028146866058577
"1.2,2.3",-0.004993128721942297,0.020886349490685796
"1.1,-0.1",0.0159563697385501,-0.002147753535189317
"-0.9,-1.5",0.0015932412645696835,-0.012072271299440798
"0.0,1.0",-0.00844286820459316,0.013571950459473358
"-0.3,-1.2",-0.012332473971877951,0.011591967377338223
"0.4,0.8",-0.001166849941427885,0.0010447391308367735
"1.3,5.0",0.017756219877441654,0.0
"-1.8,-3.1",-0.0006213560432361427,0.002009789633608416
"-0.3,-0.6",0.018345500446767755,-0.008232945955815352
"2.0,2.3",-0.004799085888402215,0.020414379214374778
"-0.5,-0.7",-0.0016879927454871303,-0.00651989758766865
"-0.1,-0.6",-0.0002959198643435381,-0.009427010004541526
"0.2,0.3",-0.005452043561213111,0.0044634365171313
"0.0,0.6",0.0026669128515676046,-0.005659048428449994
"-0.3,-0.3",-0.0035485958584861314,-0.0034480216625691253
"-0.1,0.6",-0.007653079280749205,-0.006552125213054079
"-0.2,-0.2",-0.012583978635249673,-0.0015154286778087719
"-0.8,-0.9",-0.0032428820958526473,-0.016815663497144005
"0.4,1.2",-0.00681053289412927,0.007913107963884464
"0.3,0.5",-0.008375405328900937,0.0020950829972809426
