,0,1
"-0.1,-0.2",-0.0031965565057397536,-0.005405103120640003
"-0.0,0.0",-0.005032934587324255,0.0020263520420832756
"0.0,-0.1",0.004377314658973193,-0.0017495746781312081
"0.1,0.1",0.0005584205878947498,-0.0035752010141823294
"-0.2,-0.2",-0.004492698499870337,-0.008222645051691874
"-0.2,0.0",-0.0071532490962249815,0.0038964430805296397
"0.8,0.7",-0.013979611822521096,0.013808889212373072
"-0.5,-1.3",-0.002248089592070817,-1.6509279951408762e-05
"-0.2,-0.1",-0.006190681555053399,-0.0025282746549559875
"0.3,0.5",-0.0022043025670190966,-0.005004182772074194
"0.1,0.0",-0.00474810353875965,-0.00011438433030061816
"-0.0,-0.0",0.0019575487092644587,-0.00440466230247039
"0.0,0.0",-0.0005121584942579885,-0.008787088702745232
"0.2,0.3",0.006716106565182621,-0.0068748704790990815
"0.0,-0.2",0.0007096112549535663,-0.006055447662890288
"-0.0,-0.2",-0.007203804566235093,0.0018829702454559916
"-0.1,-0.0",0.0035951060683178963,-0.008651043109511503
"0.3,0.2",0.0014368403102683269,-0.007161767673378657
"0.1,-0.2",-0.004434149439785416,-0.013418888776425398
"0.0,-0.0",-0.005713422916845491,0.0017788421620138434
"-0.0,0.1",3.5562470190851365e-06,-0.008834772865300957
"0.8,0.1",-0.0036294730172022104,0.050322884143660644
"-0.4,-1.2",-0.008765845795504473,0.007913535428586256
"-0.0,-0.1",5.2308752266805e-05,-0.005169695338198614
"1.5,2.6",0.049488927023523734,0.0
"-1.8,-3.4",0.027844689800210293,0.0
"0.3,-0.3",0.0032883309422312083,-0.0011448124934489527
"0.3,0.0",-0.01640478658271274,0.005524606186017803
"0.5,0.6",-0.009601039102717208,0.001805295856041604
"0.2,-0.3",-0.009198755588712278,0.005637721557817105
"0.1,0.3",-0.0030225798928763207,0.00032168475127577383
"0.5,0.4",-0.002306039590218444,-0.0028165213702918673
"-0.1,0.1",-0.000508471220058873,0.0009923095167063672
"0.2,0.2",-0.012435744793545717,0.0037737701546706687
"0.3,0.1",-0.004763621771877522,-0.0034196204321632288
"-0.1,-0.4",-0.003484070117108433,-0.009398656695363737
"-0.4,-0.3",0.0001007439540169784,-0.016444687698554568
"-0.1,-0.3",-0.009891095313010887,-0.004699999868869126
"0.0,0.4",0.003541572274263508,-0.008578654444258045
"-0.1,-0.1",-0.003948508624649993,-0.002585852549389935
"-0.3,-0.2",-0.003977909647529632,0.009392140858856413
"1.2,1.1",0.00932436096213873,0.0
"-0.1,-1.3",0.005855969341748522,0.0
"0.7,1.7",1.3195555483143558e-05,0.0
"-0.1,-0.7",-0.005399976045540863,-6.048672326763871e-05
"0.4,0.6",0.006492685577633706,-0.008010579212910577
"-0.7,-0.3",-0.004010396335767301,0.00649747165261087
"0.2,0.9",-0.0046283501576157675,0.010902065312582466
"0.6,1.0",-0.002630217917097297,-0.006353449978461186
"-0.1,0.2",0.010465980390352632,-0.005789559695704124
"0.1,-0.1",-0.0020485591557547972,-0.008540021858267507
"0.4,0.3",-0.006019633521514219,0.0020174837202842624
"0.0,0.1",0.0009317855006490103,-0.003629373267117094
"0.1,0.2",-0.011553833626926217,0.004871439450564762
"0.1,0.6",0.005340347218267509,-0.0021828374392562615
"1.1,0.9",0.004391016630375653,-0.002015822331361199
"-0.7,-1.8",-6.183383047736761e-05,-0.001467920183208072
"0.3,0.3",-0.004712630106346725,-0.0009330774102189805
"0.8,0.2",-0.005336169049732214,-0.005263521813307265
"-0.2,-0.3",-0.00465885463195711,-0.005257963324379935
"-0.3,-0.4",-0.006361986474624688,-0.004254854415049837
"-0.2,0.1",-0.0077012423317513725,-0.005094662613511197
"-0.0,0.2",0.008712398564693483,-0.006138575349292148
"-0.6,-0.3",-0.009484944646376328,0.00635945682300797
"-0.1,0.4",-0.004866144152942779,-0.0020126005164034515
"0.0,0.2",-0.0035378957868896625,0.0010467000923202606
"0.0,0.3",-0.004445603944740637,-0.0031457059151215406
"-0.3,-0.1",0.003330169233019826,-0.005141019884303124
"0.2,-0.0",0.003730485329486883,-0.007457882728760075
"-0.1,0.0",0.0051757364257096275,-0.004796017726974405
"-0.2,-1.2",-0.0047194681506976185,-0.006552114709414429
"0.3,0.6",-0.0030132891087466225,0.0019383647839877152
"0.5,0.7",-0.004381545971408414,0.0056825122490246505
"0.0,-0.9",0.009250152944312492,-0.005000667652466307
"-0.7,-0.8",-0.012197056029526135,0.0035645472876699668
"1.2,0.1",-0.026292824366657613,0.047712291586717484
"1.3,0.1",-0.013882235881722604,0.0572080573895492
"0.2,0.7",-0.01320557845461654,-0.003927854259227022
"0.7,-0.2",-0.006644886855452545,0.012755825878631109
"0.0,-0.7",0.011066449528785145,-0.006392535494079473
"-0.2,-0.7",-0.014713739499070287,-0.0022312185575021097
"-0.6,-1.4",-0.0015069063791392184,-0.006296925473401497
"-0.9,-0.3",-0.001599682093317855,0.012607077915547155
"-0.2,-0.4",-0.007289188269576296,0.001194468806449283
"0.0,-0.4",0.002374567241754155,-0.004473135821034143
"0.1,-0.0",-0.01804652246424716,-0.005839573337244199
"0.7,0.1",-0.01928886605587852,0.026650119363780683
"-0.0,-0.4",-0.008592141958812449,0.010916338637385926
"0.4,0.4",-0.010801552305329093,-0.002565529789393661
"0.6,-0.7",-0.009335037095893188,0.01103924305873968
"-0.3,-0.3",0.0009043946911050189,-0.006700092110751103
"-0.3,0.0",0.0028957119543940517,-0.010461408899304005
"0.3,-0.1",0.004407573492055184,-0.0046370534918391566
"0.2,0.1",-0.005843404532619666,0.005542902088452555
"-0.1,-0.6",-0.00462558926135621,-0.008440216799162358
"-0.4,-0.6",0.001055242580194436,-0.000425944594119619
"-0.3,3.3",0.0020113391479419243,-0.0005848616306897133
"-0.5,-0.2",-0.012582678473465251,-0.0011145653740870613
"-0.1,-0.5",-0.007463210589618504,0.0017813451507049
"0.4,0.5",0.00042592399582969673,-0.004728689623105751
"-0.7,-0.7",0.00029432140373467466,-0.0050541240943021565
"0.8,0.5",-0.00669860131695448,0.00015109261263118626
"0.2,-0.6",-0.019032712553826672,0.015501600265893973
"-0.2,-0.5",-0.015370124208529975,0.0017169227972951718
"-0.1,1.4",-0.00029875307660873294,0.003268306101391247
"-0.3,-0.5",-0.013588943914652972,-0.002616793367200834
"0.9,1.0",-0.005768288752054383,0.008839167885560308
"0.5,0.5",-0.018055640859863574,0.006076151433686908
"-0.2,-0.0",-0.0029345889362990727,-9.756376567793767e-05
"0.2,0.5",-0.009407029988010551,-0.005561981640838525
"0.7,-1.8",-0.00357629244157319,0.009819804490922643
"0.9,0.3",-0.008189395979052464,-0.004657480217764004
"-0.0,-0.9",-0.00047448193374818274,-0.0011473644453471345
"-1.9,-1.9",-0.0016431806600564268,-0.0017287737042823404
"0.9,2.8",0.001140958692201427,-0.0002786155874585302
"-0.7,-1.9",0.0055172314902346845,-0.004137566678718254
"1.1,1.8",-0.0058094409985587625,0.0019452754236393608
"0.8,1.2",-0.005023927215349701,0.009289959317803884
"0.1,-0.7",-0.004793543622799738,-0.017716439697374645
"0.3,0.4",-0.005961031128730233,-0.0009484547297991484
"-0.4,0.3",-0.0021580390996157094,0.004577166307198363
"1.3,1.7",0.007175659529587471,-0.008208010349318904
"-0.6,-0.6",-0.009452153712165599,0.0007210078918387908
"0.3,0.9",0.010905063094707151,-0.008452433158177185
"0.4,0.2",-0.006979094924061111,0.010585686971811002
"0.5,-0.2",0.008427380315944824,-0.014299215361401734
"-2.0,-4.7",0.0037967480094967475,-0.0008103030801877133
"-0.9,1.1",0.0011092960239236557,0.0
"-0.3,-0.7",-0.005445236474444647,0.0044991590080244994
"0.8,1.0",-0.00849131307033331,0.013946281313428226
"-0.0,-0.5",-0.0074939428508637345,0.004273364924934443
"0.4,0.8",-0.0016659527193301992,0.003301882704256494
"0.2,-0.2",-0.005783378623335661,-0.012742310837896608
"-0.8,-1.1",0.005236737885316314,-0.009391850502773282
"0.1,0.9",0.012327526468929303,-0.008141315950850268
"-0.0,1.0",0.01049331555689386,-0.0023267889031640615
"0.0,-1.3",0.003509510321491887,0.0
"-0.0,-0.3",-0.007039872624921786,-0.0018059389527199728
"0.1,-0.6",0.0034911555822604292,-0.005952663305715558
"-0.6,-0.7",-0.0016635279084026488,-0.020058650836434936
"-0.1,0.3",-0.008412480447581265,-0.0033815515851964954
"0.2,0.4",-0.004485557666815817,-0.007527504177191817
"-0.5,-0.4",0.0004267284862315753,0.0016104616521122829
"0.1,0.7",0.0023918758768681513,-0.0050558149170730204
"-0.4,-0.8",-0.0006323664381248193,-0.0049152508524423575
"-0.8,-1.0",-0.005046935389052719,0.001512064875285192
"0.1,1.6",0.00046983429761623973,-0.002679629870042118
"-0.4,-0.1",-0.009675257536363169,0.002113963348702953
"0.0,0.5",-0.00902611241321764,-0.0021605092844947625
"0.6,0.3",-0.00715644573293934,0.0036438517830627874
"0.0,-0.6",-0.005388466150921232,0.006071798888377969
"0.0,-0.3",0.002641656265520738,-0.00852362814428336
"-0.5,-0.3",-0.006428040675269073,0.007906961726553167
"-0.7,-0.5",-0.011237506874890491,0.01016326066619692
"-0.2,0.2",-0.0031530180339128123,-0.009861860520994093
"0.2,0.0",0.0020585970130636705,-0.007337453685243032
"0.1,0.5",-0.006256126814912281,0.00432118723660426
"-0.3,0.1",0.0013635204801983355,-0.006380312293119587
"0.8,1.1",0.005558137444603704,-0.0022396040464351197
"0.1,0.4",-0.005130091923776376,-0.012731661234656431
"0.6,-0.2",-0.0021042691388855035,-0.0019636361179139017
"0.4,0.0",0.0018828220599880203,0.015468112508008091
"-0.2,-0.6",-0.005446506177760629,-0.007887847059049699
"-0.3,-1.2",-0.005602579015724921,0.01790835610289379
"0.3,0.7",-0.012463383175689065,0.0088789419539207
"0.2,0.6",-0.003963228265659554,-0.0060361889111650345
"2.3,2.2",-0.001891626260073071,0.006505302708391291
"0.6,0.8",-0.0008106601427148375,-0.00588729168127416
"-0.5,-1.8",-0.0010623122465267486,-0.004192827890919409
"-0.5,-0.0",-0.017345274857515313,-0.012749696020814948
"-0.4,-1.5",-0.002524622418485569,0.0009537362289957735
"2.3,1.5",0.005027356665182665,0.0
"0.7,0.8",-0.005117403992996556,0.008325904586932033
"-1.4,-2.3",0.0024530707605335223,0.0
"-0.1,1.3",-0.002275889999079761,0.01036930590273263
"-0.4,-0.4",-0.011642904258457744,0.014021366674469559
"0.2,-0.9",-0.007267770847282291,-0.009268289514775442
"1.0,1.2",-0.004471522857228218,0.007065678912113253
"-0.4,0.2",-0.005367164705483319,-0.01259717135830481
"0.3,-0.2",0.002684260753717275,-0.007977506387731785
"-0.2,-0.9",-0.008390091917105512,0.005462448763532726
"-0.3,-0.0",0.0009567091513987125,-0.013164656323921331
"0.2,1.6",0.003439072509626655,-0.00596753634352022
"0.2,-0.1",-0.0006930375635565732,-0.005292370459861231
"-0.5,-0.7",-0.011018510860342976,0.0010671046293310089
"0.9,0.9",-0.014959449155734496,0.008048052576410508
"-0.0,0.7",-0.0075776871774691865,0.009999099912423232
"0.1,-0.4",-0.0004430637950290719,0.001564658218193799
"1.7,-1.4",-0.004118993377872987,0.004118993377872987
"3.8,2.1",-0.002616474749979819,0.009635927089448475
"-0.7,-0.9",0.006919858682762037,-0.010460148810105895
"-0.0,0.5",0.005651324537774105,-0.004337833390911594
"0.1,0.8",-0.00684456342402536,-0.0005808573989391488
"-0.5,-1.7",0.008561404232895862,0.0
"-0.5,0.0",-0.008844161048233157,-0.009986670142171965
"0.1,-1.2",-0.0071171015396809196,0.007999413281958807
"0.9,1.1",-0.007354688910850253,0.005687270326033726
"-0.4,0.1",0.0033816849707589036,-0.0076442049654419034
"-0.0,-0.7",0.0005227732295309174,-0.005698798425263084
"1.6,0.8",0.005830182892970313,0.0
"-1.4,-3.0",0.0015903012370547384,0.0
"-2.3,-2.6",-0.0005043795883196195,0.0013668686843461687
"0.2,2.5",0.019109930381845094,-0.003903402960504366
"0.3,1.9",0.03267910566392092,0.0
"-3.2,-3.5",-0.0016260161056184147,0.00665869855411797
"-0.7,-1.1",0.004991950575702677,-0.008075299490948783
"1.3,0.8",-0.000921495614002936,0.0026428391517921614
"-2.5,-2.7",-0.002211027148054874,0.010359966694654436
"0.8,3.3",-0.0025465498357064614,0.008757584884994521
"0.3,-0.0",-0.005349425483170908,0.0006811822309708884
"-0.7,-0.6",-0.0025115715196272655,-0.0007833420990918025
"0.4,-0.2",0.006971387713193193,-0.007622182745329967
"0.8,0.6",-0.007256387331807295,-0.0015912930462933976
"-0.1,-0.9",-0.006940912419463269,-0.007951896019603777
"-0.5,-0.6",0.006158194313274773,-0.009327491038012697
"-1.2,-1.3",-0.00041607657462256224,0.0025836438663847717
"0.2,1.7",-0.001119022234943946,0.013817613522033688
"-0.9,-0.8",-0.0060235246130835324,-0.011791517312535329
"0.4,1.4",0.008663167882992994,0.0008873481043657977
"-0.6,-0.2",-0.0033532837145165374,-0.004963563189761257
"0.1,-0.3",-6.105639535425661e-05,-0.009017320548710303
"0.4,0.9",-0.005255645620734965,0.0036840686103968706
"-0.6,-1.7",-0.0011594204103469459,0.0025424917218731767
"-0.0,0.3",-0.010830643222189846,-0.0044878931685118735
"-0.4,-0.9",-0.0036511701969596114,0.004107161283916162
"-1.0,-1.1",0.015664774048021822,-0.015168403401488784
"-0.4,0.6",0.007816449260572645,-0.00017667791363248214
"-0.6,-0.0",-0.0009093147817828785,0.0009093147817828785
"-0.3,-1.1",-0.003449392349550547,-0.004091266203213552
"-0.8,-0.5",-0.00958955473450674,-0.0008138135639148711
"-0.7,0.1",-0.012581319401594824,0.009064333109639826
"-0.2,0.5",-0.007650518442193811,0.009759140832461672
"-0.8,-0.7",-0.0018843684962592273,0.00629081408334144
"-0.6,-0.8",-0.008954161726057506,0.016593455978771317
"0.5,0.8",-0.006081577794499571,0.0035772098943693885
"0.3,1.1",-0.00038087447393149947,0.0025607452499579793
"-0.4,-0.5",-0.0006585968525215846,-0.002594483046191108
"-0.7,-1.5",-0.0012025538172574684,0.02168876237295901
"0.3,1.0",-0.019409675178499893,0.01787195190997806
"-0.3,-0.6",-0.0018834555625148275,-0.006149030634960323
"0.7,1.0",-0.01981312859658467,0.009506613576331787
"1.2,1.5",-0.00010869445761979292,0.0003413513800636943
"0.0,-1.1",0.0030464338768631484,-0.003397474054510844
"0.1,-0.8",-0.006316021296375384,-0.0030331807246380717
"-0.0,0.4",-0.009733309276129783,-0.0013686362089565147
"-0.3,-0.9",-0.0139917030986045,0.005553873310242483
"-0.6,-0.4",-0.0024739792570202613,-0.005901118139070823
"0.4,0.1",-0.0031736318623895054,-0.0070030175177390845
"-0.1,-1.5",0.015960331784352008,-0.0010952277329801582
"-0.4,-0.2",-0.007043801647553906,0.006447045352095303
"0.2,1.1",-0.004307133686442953,0.004033367459714918
"0.5,0.3",-0.006518157635333901,0.004394147597575237
"-0.8,-2.3",-0.001334106817607326,0.017326508449820536
"0.5,1.2",-0.0005807429427657317,0.0037470238987981877
"-1.5,-0.7",-0.01384590333610835,0.027964428762413458
"2.9,4.4",-0.00035004378558605126,0.0014334643063534387
"0.0,-0.5",-0.01819968816049858,0.00967349861672073
"1.9,2.3",-0.0006369361340754051,0.01930233286821218
"0.9,0.6",-0.0036398257447596005,-0.002420141664933132
"-0.2,0.4",-0.005280942965636358,-0.011076322892443794
"-0.2,0.3",-0.008085987798950756,-0.002133812775534501
"-1.7,-1.3",0.020719881276940202,-0.005507027673839962
"-3.8,-3.3",-0.0030277443384297133,0.005752714243016455
"2.5,6.3",0.00506982642841528,0.0
"-0.4,-1.4",0.0031218050839366828,-0.0025759135822706882
"-0.5,-0.5",0.004045269779359192,-0.010732557641685517
"-0.6,-1.2",-0.003087677899369071,0.004955394029851857
"0.2,0.8",-0.01046267387172825,0.0011592428409412205
"1.6,2.1",0.016617889262655883,0.0
"-1.5,-3.1",0.0071567911769405265,0.0
"0.3,0.8",-0.016472025110697393,0.0017746286746691531
"-1.0,-4.4",0.007659633736819951,0.0
"-0.8,0.1",0.011342233940494849,-0.00046489922567651584
